cancer_type	perc_diploid	nb_clones	nb_mut	nb_sig	min_dist	max_dist	avg_dist	avg_major_cn	actual_perc_diploid	avg_tot_cn	index	bic	aic	aicc	icl_q	icl_qn	bic_alt	sh_4	sh_5	sh_6	sh_7	sh_8	sh_9	sh_10	max_curvature	ll_1	ll_2	ll_3	ll_4	ll_5	ll_6	ll_7	ll_8	ll_9	ll_10	timestamp
0	0	1	300	19				2.283333333333333	0.0	3.4166666666666665	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	-2516.4199077728017	-2512.1383141499678	-2512.0609682663594	-2512.056779373277	-2511.71478165997	-2511.7134783347283	-2511.7155862237346	-2511.5203205457888	-2511.345828563691	-2511.332375368395	1559083368.4083357
0	20	1	300	65				2.026666666666667	0.18	3.14	0	1	1	5	1	1	1	2	2	2	2	2	2	2	2	-2395.5818417770115	-2393.575483377627	-2395.2069329513597	-2394.573947876197	-2392.442562884614	-2392.4540881327125	-2392.429838534233	-2392.4381076134773	-2392.4628947501487	-2392.4243465214113	1559083426.5772045
0	20	1	300	19				2.026666666666667	0.18	3.14	0	1	1	1	1	1	1	1	1	3	3	5	5	5	3	-2399.7936108302038	-2399.3811408324245	-2398.3421591534093	-2398.3435668524608	-2398.095123584784	-2398.1059787402146	-2398.114880823709	-2398.113025755179	-2398.356125533804	-2398.430345062489	1559083426.5772045
0	40	1	300	65				1.7166666666666666	0.4566666666666666	2.806666666666666	0	1	1	5	1	1	1	2	2	2	4	5	8	8	2	-2345.4930941910293	-2343.649548358252	-2343.152860997331	-2342.7359641020253	-2342.5468098078118	-2342.473851515996	-2342.413900678884	-2342.346131751431	-2342.880608586609	-2342.413362490876	1559085293.7295098
0	40	1	300	19				1.7166666666666666	0.4566666666666666	2.806666666666666	0	1	1	1	1	1	1	1	4	4	4	4	4	10	8	-2353.2622247742083	-2352.746023010661	-2351.969878607516	-2351.9212496186656	-2351.962790886193	-2351.958064058179	-2351.9593644209162	-2352.692143069713	-2351.9780478873586	-2351.652713728456	1559085293.7295098
0	60	1	300	65				1.4766666666666666	0.6066666666666667	2.493333333333333	0	1	1	5	1	1	1	2	2	2	2	2	2	6	2	-2389.9355268915506	-2385.3435417269466	-2389.08234845936	-2386.417969982489	-2383.79320623144	-2383.560021888893	-2383.5889909900243	-2383.58171012754	-2383.7060072689005	-2383.697531718094	1559084433.1538436
0	60	1	300	19				1.4766666666666666	0.6066666666666667	2.493333333333333	0	1	1	1	1	1	1	2	2	2	6	6	6	6	2	-2399.4201166972657	-2397.0622759987	-2397.052327833509	-2396.160869822347	-2396.1621588252983	-2396.1505850047824	-2396.1686001150088	-2396.162271316453	-2396.150058804769	-2396.14968029877	1559084433.1538436
0	80	1	300	65				1.2366666666666666	0.8233333333333334	2.223333333333333	0	1	1	5	1	1	1	2	2	2	4	6	4	4	2	-2281.410645184252	-2279.906855691042	-2279.918889266024	-2279.5264129063603	-2279.610370056216	-2279.5248550917186	-2279.5496957444243	-2279.637875831267	-2279.5311910970827	-2279.538928472913	1559083353.922962
0	80	1	300	19				1.2366666666666666	0.8233333333333334	2.223333333333333	0	1	1	1	1	1	1	2	4	4	4	4	4	4	2	-2288.926660407974	-2288.584836338219	-2288.5751538489967	-2288.570934762904	-2288.5711390062506	-2288.588242985073	-2288.586302418935	-2288.5935037426552	-2288.574048367246	-2288.576547722653	1559083353.922962
0	100	1	300	65				1.0	1.0	2.0	0	1	1	5	1	1	1	1	1	4	3	4	8	8	2	-2261.7136841254237	-2261.833720066365	-2256.8393160938185	-2256.1976602873474	-2256.244163372546	-2256.190217261501	-2256.2139897266616	-2256.168649615399	-2256.255612616965	-2256.192873168751	1559082663.3197448
