nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
1000	4	19	12	2848	0.6	-8249.024278568177	-8277.107968295211	-8271.672526638566	-8283.855624863252	1560227596.9279711
1000	4	19	12	2849	0.8	-7825.367142654255	-7851.288011197529	-7848.7595922173705	-7858.389299783866	1560228162.9728837
1000	4	19	12	2850	1.0	-8056.110543342582	-8087.345608964639	-8091.925783512721	-8102.354637361108	1560227452.1292536
1000	4	20	7	2851	0.0	-7553.365402827873	-7570.807090335484	-7593.062545250111	-7596.666503932559	1560228527.1797493
1000	4	20	7	2852	0.2	-7728.097992731033	-7741.590769008007	-7745.0629169233425	-7752.256240445891	1560228000.854526
1000	4	20	7	2853	0.4	-7619.926567371159	-7635.257087715927	-7633.2781434521985	-7639.071652219286	1560227330.4463086
1000	4	20	7	2854	0.6	-7794.43781782073	-7818.2850786688705	-7827.430866497771	-7833.339761430927	1560228029.650415
1000	4	20	7	2855	0.8	-8228.580545593091	-8255.055286626151	-8252.382418076453	-8260.115767030215	1560228019.085698
1000	4	20	7	2856	1.0	-7294.7967587394205	-7315.764734714965	-7317.880414879552	-7322.532063357925	1560227378.0690594
1000	4	21	16	2857	0.0	-7727.930364882527	-7743.4514554204125	-7745.938816486254	-7750.959408881572	1560228457.5819712
1000	4	21	16	2858	0.2	-7829.913229845593	-7849.977585287756	-7839.818286803041	-7853.440078673724	1560227651.6644168
1000	4	21	16	2859	0.4	-7323.1507313512675	-7338.0826948043905	-7332.3510391516065	-7342.711807601405	1560228073.8887975
1000	4	21	16	2860	0.6	-7487.056965843841	-7505.599795708829	-7493.902123948105	-7508.139619414306	1560228124.703456
1000	4	21	16	2861	0.8	-8062.0848403851305	-8091.231014748405	-8075.000863582099	-8094.472442495955	1560227564.157108
1000	4	21	16	2862	1.0	-7675.649403480191	-7690.916878231585	-7686.994084156551	-7697.247872898606	1560227424.240852
1000	4	22	5	2863	0.0	-8099.106586783869	-8122.584625822057	-8124.706756504984	-8129.11198633652	1560227803.5338724
1000	4	22	5	2864	0.2	-8142.122624229658	-8159.1354720563595	-8166.361421685899	-8168.242897171553	1560228698.371925
1000	4	22	5	2865	0.4	-8495.373694448146	-8507.36375298784	-8504.08255913545	-8509.009550135193	1560227883.9290602
1000	4	22	5	2866	0.6	-8503.647620370743	-8521.254148173051	-8530.893561546382	-8531.938399152865	1560227974.4254034
1000	4	22	5	2867	0.8	-8636.656868979659	-8669.491144359441	-8674.415959296988	-8678.955829455232	1560227698.1436813
1000	4	22	5	2868	1.0	-8195.100608096334	-8226.167302259133	-8237.373274786547	-8242.531784400691	1560227901.9706779
1000	4	23	4	2869	0.0	-8204.37398485525	-8231.805085897893	-8238.679846222527	-8248.276256599935	1560228475.713304
1000	4	23	4	2870	0.2	-8272.13303605004	-8291.466146241932	-8297.391692310013	-8300.582004618507	1560227954.6674445
1000	4	23	4	2871	0.4	-7959.6416244693555	-7984.168665360691	-7983.07383605141	-7990.065132426028	1560229022.926917
1000	4	23	4	2872	0.6	-8043.071271368561	-8061.700126665998	-8065.367227274633	-8071.147764046503	1560235826.5792356
1000	4	23	4	2873	0.8	-7998.766872918529	-8015.93112087476	-7914.131328697214	-7921.225680422224	1560227733.7740111
1000	4	23	4	2874	1.0	-7474.291046599335	-7498.455959504791	-7502.7723211670655	-7509.820649099262	1560227583.9539034
1000	4	24	7	2875	0.0	-8227.524671044572	-8254.25767134336	-8252.217787523914	-8260.197200935365	1560227837.1825273
1000	4	24	7	2876	0.2	-8165.851278429712	-8175.020152533686	-8178.04250159817	-8181.5455453516615	1560228747.330913
1000	4	24	7	2877	0.4	-8081.792229786471	-8098.723189176348	-8098.501319530254	-8104.1007587781	1560228229.0767784
1000	4	24	7	2878	0.6	-7689.539760599957	-7718.217314469657	-7715.445024880858	-7723.5532562164235	1560227833.5389118
1000	4	24	7	2879	0.8	-7341.668410806875	-7362.587638407457	-7360.764397420888	-7365.018067785653	1560227721.719636
1000	4	24	7	2880	1.0	-7555.923505365778	-7566.972490566417	-7562.334179405118	-7568.790961221306	1560227830.9941492
1000	4	25	13	2881	0.0	-8296.85639663029	-8308.037511919036	-8309.005996110174	-8311.802520532607	1560228475.1478643
1000	4	25	13	2882	0.2	-8672.275856442919	-8696.156342814753	-8699.525495812039	-8707.45888040308	1560228000.8059726
1000	4	25	13	2883	0.4	-8418.428601565578	-8439.249910223407	-8435.004083220581	-8445.141789114316	1560228993.423347
1000	4	25	13	2884	0.6	-7732.39275623917	-7750.625364856189	-7749.858506898106	-7755.5792901670275	1560228079.422671
